M.;BORROTI MATIAS DANTAS;Rapha?l;10/07/1976;8 Rue Arago, Villeurbanne;328178508;rborrotimatiasdantas4171@free.fr
Mme;OLMEADA MARAIS;Nor;09/12/1983;5 Rue L?on Fabre, Villeurbanne;418932546;nolmeadamarais1551@gmail.com
Mme;RAYES GEMEZ;Olena;28/08/1992;12 Rue de la Prevoyance, Villeurbanne;532731620;orayesgemez5313@outlook.com
Mme;SING;Ainhoa;09/11/1982;4 Rue Phelypeaux, Villeurbanne;705224200;asing8183@free.fr
M.;ABDIULLINA;David Alexander;07/01/1975;8 Rue Wilhelmine, Villeurbanne;590232772;david-alexander.abdiullina@laposte.net
M.;WOAGNER;Moez;16/08/1984;6 Rue Camille Koechlin, Villeurbanne;832205629;moez.woagner@laposte.net
M.;HONRY;Matteo;17/02/1996;9 Impasse Guillet, Villeurbanne;482381862;matteo.honry@yahoo.com
M.;CECCANI;Kevin;16/02/1982;20 Rue Decomberousse, Villeurbanne;664426037;kevin.ceccani@hotmail.com
Mme;VOYRET;Alice;13/08/1988;1 Rue d'Alsace, Villeurbanne;486856520;alice.voyret@hotmail.com
M.;RINERD;Julien;16/05/1989;4 Rue de la Jeunesse, Villeurbanne;727252485;jrinerd5241@yahoo.com
M.;WOSTPHOL;Olivier;24/05/1983;7 Rue de la Cloche, Villeurbanne;860680312;owostphol@gmail.com
M.;GIYRAUD;Vincent;07/12/1994;4 Rue Marcel Doret, Villeurbanne;518940604;vincent.giyraud@yahoo.com
M.;KLOEN;Benjamin;07/07/1997;16 Rue Jules Kumer, Villeurbanne;220989602;benjamin.kloen@yahoo.com
M.;UNLU;Adrien;09/04/1986;4 Rue du Luxembourg, Villeurbanne;367699654;adrien.unlu@laposte.net
M.;MIE;Romain;17/11/1994;1 Rue Denis Papin, Villeurbanne;307363387;romain.mie@free.fr
Mme;BEUOLLOT;Audrey-Laure;10/04/1993;8 Rue Leo Lagrange, Villeurbanne;202294489;audrey-laure.beuollot@gmail.com
M.;DALMARRE;Jose Luis;17/05/1994;18 Rue Baudelaire, Villeurbanne;549997540;jose-luis.dalmarre@free.fr
M.;BOUTILIB;St?fan;17/09/1987;6 Rue du Perou, Villeurbanne;552505347;stefan.boutilib@gmail.com
M.;GOGUOLLOT;R?my;03/06/1987;3 Rue Leo Lagrange, Villeurbanne;477151696;rgoguollot@gmail.com
M.;CRAPAN;Louis;16/12/1977;3 Rue des 2 Fr?res, Villeurbanne;351726095;lcrapan8910@hotmail.com
M.;LAAZEZ;Julien;03/03/1991;4 Avenue de la Rize, Villeurbanne;789257237;julien.laazez@hotmail.com
M.;BOUOCHRANA;Xavier;17/01/1976;1 Avenue Jean Capelle, Villeurbanne;507002403;xbouochrana@hotmail.com
M.;SIDAR;Criti;26/05/1986;16 Rue du Docteur Rollet, Villeurbanne;942244718;criti.sidar@outlook.com
M.;RALLOND;Antoine;18/11/1985;15 Impasse Comby, Villeurbanne;300853587;antoine.rallond@gmail.com
M.;THEE THIEN NGHIA;Yann;16/12/1975;1 Rue Alexandre Dumas, Villeurbanne;998247431;ytheethiennghia8688@laposte.net
M.;PARTEER;Lucas;25/06/1991;18 Rue du Professeur Calmette, Villeurbanne;338752096;lparteer8884@gmail.com
M.;BIUVAER;Nacer;19/12/1987;16 All?e Henri Georges Clouzot, Villeurbanne;308160740;nacer.biuvaer@yahoo.com
M.;VILLEN;Ali;05/08/1992;10 Rue Eugene Fourniere, Villeurbanne;269635308;ali.villen@hotmail.com
M.;FOULA;Aur?lien;11/09/1994;4 Rue Jean Novel, Villeurbanne;640971720;afoula6009@gmail.com
M.;STARRS;Lucas;31/05/1979;5 Impasse Bayet, Villeurbanne;113140081;lstarrs496@laposte.net
M.;EL GHROB;Joris Nicolas;03/11/1996;14 Rue du Luizet, Villeurbanne;187556598;jelghrob4781@free.fr
M.;TRIN;Yoann;01/10/1997;1 Place du Commandant Rivi?re, Villeurbanne;650322544;yoann.trin@hotmail.com
M.;MEKHTERO;Bogdan Mihai;12/11/1992;9 Rue Burais, Villeurbanne;175787757;bogdan-mihai.mekhtero@laposte.net
M.;MONOTTO;Josu?;26/01/1990;14 Rue de la Sainte Famille, Villeurbanne;195535864;jmonotto449@free.fr
M.;PATTIT;Philipe;19/01/1991;6 Rue Lafontaine, Villeurbanne;438848608;ppattit@outlook.com
M.;MITHAIS;Franck;06/11/1996;15 Avenue Roberto Rossellini, Villeurbanne;418269213;franck.mithais@outlook.com
Mme;LOU;Silvia;22/01/1985;19 Avenue Paul Kruger, Villeurbanne;378851388;silvia.lou@laposte.net
M.;JULOON;Renaud;12/10/1996;15 Place de Croix Luizet, Villeurbanne;340084975;rjuloon@gmail.com
M.;IGARWAL;Mick;09/07/1992;8 Avenue Jean Capelle, Villeurbanne;590579778;mick.igarwal@outlook.com
M.;COTOLANO;Benjamin;30/03/1988;11 Rue Mansard, Villeurbanne;739902865;benjamin.cotolano@gmail.com
M.;KLANGSHEIM;Alexis;28/09/1992;5 Avenue Henri Barbusse, Villeurbanne;297899026;aklangsheim3542@yahoo.com
M.;IULIS;Deschances;18/06/1974;4 Rue Yvonne Chanu, Villeurbanne;346764898;diulis907@free.fr
M.;LEU;Fr?d?ric;12/05/1984;5 Rue Jean Baptiste Durand, Villeurbanne;818612679;frederic.leu@yahoo.com
M.;BRICHTI;Michael;01/04/1981;3 Rue Octavie, Villeurbanne;578720036;michael.brichti@outlook.com
M.;DURAF;Vincent;05/09/1988;17 Rue Pierre Baratin, Villeurbanne;102651424;vincent.duraf@gmail.com
M.;BONSAL;Martin;19/05/1995;5 Impasse Martin, Villeurbanne;603847954;mbonsal8320@gmail.com
M.;PRIMEULT;Cheng;03/10/1971;10 Impasse Bayet, Villeurbanne;618703838;cprimeult7807@hotmail.com
Mme;SOUMOELLIN;St?phanie;22/05/1983;16 Rue Sylvestre, Villeurbanne;239372281;ssoumoellin3265@yahoo.com
M.;WOSTERLAND;Micha?l;08/06/1982;17 Rue du Luxembourg, Villeurbanne;306449347;michael.wosterland@outlook.com
M.;PETHIN;Ismael;03/08/1983;3 Rue de la Boube, Villeurbanne;469760096;ipethin4798@laposte.net
M.;GOYAT;Micha?l;19/10/1991;6 Avenue Salvador Allende, Villeurbanne;869780675;mgoyat@yahoo.com
M.;OYOUB;Khalid;18/01/1990;5 Rue Georges Courteline, Villeurbanne;164758327;koyoub3682@laposte.net
M.;GECQUOL;J?r?me;09/04/1987;4 Rue du 14 Juillet 1789, Villeurbanne;151969353;jerome.gecquol@outlook.com
M.;DUCLIS-MOYNA-BRESSIND;Juan Carlos;11/11/1990;14 Rue du 4 Septembre 1797, Villeurbanne;475222876;juan-carlos.duclis-moyna-bressind@gmail.com
M.;EKIN;Yachen;16/11/1983;8 Impasse des Moineaux, Villeurbanne;406224761;yekin6704@yahoo.com
M.;DA ALMEADA;Lucas;23/11/1988;20 Rue des Peupliers, Villeurbanne;222930358;ldaalmeada5311@laposte.net
